DATAFLOW,LAST UPDATE,freq,unit,sector,na_item,geo,TIME_PERIOD,OBS_VALUE,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LT,2018,244.6,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LT,2019,238.7,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LT,2020,-3236.6,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LT,2021,-648.2,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LT,2022,-439.9,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LU,2013,414.2,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LU,2014,693.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LU,2015,722.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LU,2016,1064,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LU,2017,795.1,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LU,2018,1789.7,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LU,2019,1387,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LU,2020,-2222.4,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LU,2021,416.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LU,2022,-222.3,
ESTAT:GOV_10DD_EDPT1(1.0),23/10/23 11:00:00,A,MIO_EUR,S13,B9,LV,2013,-278.2,
